"q","vax","Day_of_Extinction","mean_popn_R0","param1","PropVax"
"0.8",0.00135,12423,NA,0.8,0.2
"0.8",0.0018,12421,NA,0.8,0.25
"0.8",0.00231428571428571,12416,NA,0.8,0.3
"0.8",0.0036,12407,NA,0.8,0.4
"0.8",0.0054,2931,NA,0.8,0.5
"0.8",0.0081,0,NA,0.8,0.6
"0.8",0.0126,0,NA,0.8,0.7
"0.8",0.0216,0,NA,0.8,0.8
"0.8",0.0486,0,NA,0.8,0.9
"0.8",0.5346,0,NA,0.8,0.99
"0.9",0,12395,NA,0.9,0
"0.9",0.000284210526315789,12395,NA,0.9,0.05
"0.9",6e-04,12396,NA,0.9,0.1
"0.9",0.000952941176470588,12397,NA,0.9,0.15
"0.9",0.00135,12397,NA,0.9,0.2
"0.9",0.0018,12398,NA,0.9,0.25
"0.9",0.00231428571428571,12399,NA,0.9,0.3
"0.9",0.0036,12402,NA,0.9,0.4
"0.9",0.0054,12405,NA,0.9,0.5
"0.9",0.0081,12404,NA,0.9,0.6
"0.9",0.0126,0,NA,0.9,0.7
"0.9",0.0216,0,NA,0.9,0.8
"0.9",0.0486,0,NA,0.9,0.9
"0.9",0.5346,0,NA,0.9,0.99
"0.99",0,12382,NA,0.99,0
"0.99",0.000284210526315789,12381,NA,0.99,0.05
"0.99",6e-04,12381,NA,0.99,0.1
"0.99",0.000952941176470588,12382,NA,0.99,0.15
"0.99",0.00135,12382,NA,0.99,0.2
"0.99",0.0018,12382,NA,0.99,0.25
"0.99",0.00231428571428571,12382,NA,0.99,0.3
"0.99",0.0036,12383,NA,0.99,0.4
"0.99",0.0054,12385,NA,0.99,0.5
"0.99",0.0081,12387,NA,0.99,0.6
"0.99",0.0126,12390,NA,0.99,0.7
"0.99",0.0216,5489,NA,0.99,0.8
"0.99",0.0486,0,NA,0.99,0.9
"0.99",0.5346,0,NA,0.99,0.99
