"q","Tasl","Day_of_Extinction","mean_popn_R0","param1"
"0.8",0.65,12399,NA,0.8
"0.8",0.7,12397,NA,0.8
"0.8",0.75,12395,NA,0.8
"0.8",0.8,12393,NA,0.8
"0.8",0.85,12392,NA,0.8
"0.8",0.9,12391,NA,0.8
"0.8",0.95,12390,NA,0.8
"0.8",1,12389,NA,0.8
"0.9",0.05,10199,NA,0.9
"0.9",0.1,12400,NA,0.9
"0.9",0.15,12416,NA,0.9
"0.9",0.2,12427,NA,0.9
"0.9",0.25,12418,NA,0.9
"0.9",0.3,12408,NA,0.9
"0.9",0.35,12400,NA,0.9
"0.9",0.4,12395,NA,0.9
"0.9",0.45,12392,NA,0.9
"0.9",0.5,12390,NA,0.9
"0.9",0.55,12388,NA,0.9
"0.9",0.6,12387,NA,0.9
"0.9",0.65,12386,NA,0.9
"0.9",0.7,12385,NA,0.9
"0.9",0.75,12384,NA,0.9
"0.9",0.8,12384,NA,0.9
"0.9",0.85,12383,NA,0.9
"0.9",0.9,12383,NA,0.9
"0.9",0.95,12382,NA,0.9
"0.9",1,12382,NA,0.9
"0.99",0.05,12417,NA,0.99
"0.99",0.1,12419,NA,0.99
"0.99",0.15,12405,NA,0.99
"0.99",0.2,12394,NA,0.99
"0.99",0.25,12388,NA,0.99
"0.99",0.3,12385,NA,0.99
"0.99",0.35,12383,NA,0.99
"0.99",0.4,12382,NA,0.99
"0.99",0.45,12381,NA,0.99
"0.99",0.5,12381,NA,0.99
"0.99",0.55,12380,NA,0.99
"0.99",0.6,12380,NA,0.99
"0.99",0.65,12381,NA,0.99
"0.99",0.7,12381,NA,0.99
"0.99",0.75,12381,NA,0.99
"0.99",0.8,12381,NA,0.99
"0.99",0.85,12382,NA,0.99
"0.99",0.9,12382,NA,0.99
"0.99",0.95,12382,NA,0.99
"0.99",1,12383,NA,0.99
