"q","biteA","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.05,0.0193047309211223,NA,0
"0",0.075,0.0209766253953476,NA,0
"0",0.1,0.0239095654031282,NA,0
"0",0.125,0.0291211261605453,NA,0
"0",0.15,0.0360538965188058,NA,0
"0",0.175,0.0436653653453986,NA,0
"0",0.2,0.0495095040021199,NA,0
"0",0.225,0.0525630778796872,NA,0
"0",0.25,0.0538150863626784,NA,0
"0",0.275,0.0543297457728446,NA,0
"0",0.3,0.0545877070501418,NA,0
"0",0.325,0.0547491717059148,NA,0
"0",0.35,0.0548665742752194,NA,0
"0",0.375,0.0549611113137413,NA,0
"0",0.4,0.0550431392831885,NA,0
"0",0.425,0.0551159683230382,NA,0
"0",0.45,0.055183267513821,NA,0
"0",0.475,0.0552464654966686,NA,0
"0",0.5,0.0553060758930191,NA,0
"0",0.525,0.0553626699737538,NA,0
"0",0.55,0.0554178690227704,NA,0
"0",0.575,0.0554698896535807,NA,0
"0",0.6,0.0555214668004265,NA,0
"0",0.625,0.0555704707548563,NA,0
"0",0.65,0.0556185690907718,NA,0
"0",0.675,0.0556653986045036,NA,0
"0",0.7,0.0557104500595159,NA,0
"0",0.725,0.0557550867574881,NA,0
"0",0.75,0.0557987448643209,NA,0
"0",0.775,0.0558410815006302,NA,0
"0",0.8,0.0558822485329976,NA,0
"0",0.825,0.0559235574260821,NA,0
"0",0.85,0.0559638698180285,NA,0
"0",0.875,0.0560032344289477,NA,0
"0",0.9,0.05604173217972,NA,0
"0",0.925,0.056079564614631,NA,0
"0",0.95,0.0561174954711015,NA,0
"0",0.975,0.0561546853224689,NA,0
"0",1,0.0561911878351404,NA,0
"0.1",0.05,0.0194419044682557,NA,0.1
"0.1",0.075,0.0212123116584493,NA,0.1
"0.1",0.1,0.0243314325473195,NA,0.1
"0.1",0.125,0.0302287400979125,NA,0.1
"0.1",0.15,0.0378657403875974,NA,0.1
"0.1",0.175,0.0485807261061559,NA,0.1
"0.1",0.2,0.0650652610412074,NA,0.1
"0.1",0.225,0.110556676917738,NA,0.1
"0.1",0.25,0.730441724376444,NA,0.1
"0.1",0.275,0.793247032382969,NA,0.1
"0.1",0.3,0.809030141517841,NA,0.1
"0.1",0.325,0.815027199025404,NA,0.1
"0.1",0.35,0.81779646004728,NA,0.1
"0.1",0.375,0.819221236211124,NA,0.1
"0.1",0.4,0.819996924053264,NA,0.1
"0.1",0.425,0.820428461378064,NA,0.1
"0.1",0.45,0.820661653030423,NA,0.1
"0.1",0.475,0.820775554354825,NA,0.1
"0.1",0.5,0.820811905375222,NA,0.1
"0.1",0.525,0.820798966611699,NA,0.1
"0.1",0.55,0.820755568614399,NA,0.1
"0.1",0.575,0.820684021191882,NA,0.1
"0.1",0.6,0.820603253528981,NA,0.1
"0.1",0.625,0.820505869752657,NA,0.1
"0.1",0.65,0.820403539206152,NA,0.1
"0.1",0.675,0.820297616077457,NA,0.1
"0.1",0.7,0.820183818119073,NA,0.1
"0.1",0.725,0.820071013335592,NA,0.1
"0.1",0.75,0.819956038866901,NA,0.1
"0.1",0.775,0.819840271299183,NA,0.1
"0.1",0.8,0.819725131048789,NA,0.1
"0.1",0.825,0.819609996590017,NA,0.1
"0.1",0.85,0.819494279331767,NA,0.1
"0.1",0.875,0.819382466875272,NA,0.1
"0.1",0.9,0.819270115322902,NA,0.1
"0.1",0.925,0.819157581045759,NA,0.1
"0.1",0.95,0.819048020683361,NA,0.1
"0.1",0.975,0.818940669184153,NA,0.1
"0.1",1,0.818835177141245,NA,0.1
"0.2",0.05,0.0196173786421815,NA,0.2
"0.2",0.075,0.0216118482787317,NA,0.2
"0.2",0.1,0.0253059739067896,NA,0.2
"0.2",0.125,0.0324404020493852,NA,0.2
"0.2",0.15,0.0818583816573042,NA,0.2
"0.2",0.175,0.161443670034742,NA,0.2
"0.2",0.2,0.682708988035164,NA,0.2
"0.2",0.225,0.774595187347653,NA,0.2
"0.2",0.25,0.80163816863887,NA,0.2
"0.2",0.275,0.811591430317154,NA,0.2
"0.2",0.3,0.816045196604417,NA,0.2
"0.2",0.325,0.818297700081149,NA,0.2
"0.2",0.35,0.819522425020297,NA,0.2
"0.2",0.375,0.820214742540735,NA,0.2
"0.2",0.4,0.82061374422406,NA,0.2
"0.2",0.425,0.820831689396384,NA,0.2
"0.2",0.45,0.82093800000387,NA,0.2
"0.2",0.475,0.820978388036103,NA,0.2
"0.2",0.5,0.82096575926097,NA,0.2
"0.2",0.525,0.820924842118375,NA,0.2
"0.2",0.55,0.820858033605195,NA,0.2
"0.2",0.575,0.820778806145361,NA,0.2
"0.2",0.6,0.820684998275652,NA,0.2
"0.2",0.625,0.820585052759528,NA,0.2
"0.2",0.65,0.820478297916856,NA,0.2
"0.2",0.675,0.820369707720391,NA,0.2
"0.2",0.7,0.820256684898819,NA,0.2
"0.2",0.725,0.820141622142861,NA,0.2
"0.2",0.75,0.820027566647454,NA,0.2
"0.2",0.775,0.81991310678028,NA,0.2
"0.2",0.8,0.819795342997236,NA,0.2
"0.2",0.825,0.819680788735534,NA,0.2
"0.2",0.85,0.81956797379405,NA,0.2
"0.2",0.875,0.819455207575487,NA,0.2
"0.2",0.9,0.819343132991379,NA,0.2
"0.2",0.925,0.819230609194266,NA,0.2
"0.2",0.95,0.819120581449728,NA,0.2
"0.2",0.975,0.819011200170123,NA,0.2
"0.2",1,0.818904275715679,NA,0.2
"0.3",0.05,0.0198463202450787,NA,0.3
"0.3",0.075,0.0221827647816865,NA,0.3
"0.3",0.1,0.0271412120518997,NA,0.3
"0.3",0.125,0.0745389672027624,NA,0.3
"0.3",0.15,0.302529477364989,NA,0.3
"0.3",0.175,0.682281647557904,NA,0.3
"0.3",0.2,0.772067830304637,NA,0.3
"0.3",0.225,0.800236861478742,NA,0.3
"0.3",0.25,0.81102718841187,NA,0.3
"0.3",0.275,0.815897451819245,NA,0.3
"0.3",0.3,0.818348385812134,NA,0.3
"0.3",0.325,0.81967086862226,NA,0.3
"0.3",0.35,0.820406174380541,NA,0.3
"0.3",0.375,0.820822507606255,NA,0.3
"0.3",0.4,0.821049469475613,NA,0.3
"0.3",0.425,0.821160756556008,NA,0.3
"0.3",0.45,0.821192657268919,NA,0.3
"0.3",0.475,0.821179875345374,NA,0.3
"0.3",0.5,0.821128544274998,NA,0.3
"0.3",0.525,0.82105875970581,NA,0.3
"0.3",0.55,0.82096973308353,NA,0.3
"0.3",0.575,0.820870748466465,NA,0.3
"0.3",0.6,0.82076233744327,NA,0.3
"0.3",0.625,0.820651490207303,NA,0.3
"0.3",0.65,0.820532690955843,NA,0.3
"0.3",0.675,0.820414527682513,NA,0.3
"0.3",0.7,0.82029326662422,NA,0.3
"0.3",0.725,0.820173053197557,NA,0.3
"0.3",0.75,0.820050889254882,NA,0.3
"0.3",0.775,0.819927917688879,NA,0.3
"0.3",0.8,0.819805849579728,NA,0.3
"0.3",0.825,0.819686941783257,NA,0.3
"0.3",0.85,0.819568614162092,NA,0.3
"0.3",0.875,0.819450989221041,NA,0.3
"0.3",0.9,0.819333777289271,NA,0.3
"0.3",0.925,0.819216902555337,NA,0.3
"0.3",0.95,0.819101946735698,NA,0.3
"0.3",0.975,0.818989234701,NA,0.3
"0.3",1,0.818877530991043,NA,0.3
"0.4",0.05,0.0202672954148525,NA,0.4
"0.4",0.075,0.0232132603077013,NA,0.4
"0.4",0.1,0.0338220148421565,NA,0.4
"0.4",0.125,0.202226690847927,NA,0.4
"0.4",0.15,0.642894175441203,NA,0.4
"0.4",0.175,0.758981785141366,NA,0.4
"0.4",0.2,0.795277680783222,NA,0.4
"0.4",0.225,0.809131216610158,NA,0.4
"0.4",0.25,0.815241943478979,NA,0.4
"0.4",0.275,0.818204367961507,NA,0.4
"0.4",0.3,0.819746967514933,NA,0.4
"0.4",0.325,0.820581009881965,NA,0.4
"0.4",0.35,0.821031688500742,NA,0.4
"0.4",0.375,0.821267400524198,NA,0.4
"0.4",0.4,0.821376810529364,NA,0.4
"0.4",0.425,0.821401512461487,NA,0.4
"0.4",0.45,0.821374983654291,NA,0.4
"0.4",0.475,0.821315205278555,NA,0.4
"0.4",0.5,0.8212288383994,NA,0.4
"0.4",0.525,0.821129062476054,NA,0.4
"0.4",0.55,0.821017377104569,NA,0.4
"0.4",0.575,0.820895787264065,NA,0.4
"0.4",0.6,0.82077371792024,NA,0.4
"0.4",0.625,0.820644780801144,NA,0.4
"0.4",0.65,0.820512662281369,NA,0.4
"0.4",0.675,0.820382587598277,NA,0.4
"0.4",0.7,0.820251661987717,NA,0.4
"0.4",0.725,0.820121175411296,NA,0.4
"0.4",0.75,0.819989471259216,NA,0.4
"0.4",0.775,0.819857562948305,NA,0.4
"0.4",0.8,0.819727600594304,NA,0.4
"0.4",0.825,0.819599843065401,NA,0.4
"0.4",0.85,0.81947441674819,NA,0.4
"0.4",0.875,0.819350361298234,NA,0.4
"0.4",0.9,0.81922749266533,NA,0.4
"0.4",0.925,0.819105647469552,NA,0.4
"0.4",0.95,0.818985947950993,NA,0.4
"0.4",0.975,0.818867535780295,NA,0.4
"0.4",1,0.818750397705937,NA,0.4
"0.5",0.05,0.0208656842153829,NA,0.5
"0.5",0.075,0.0258723123372723,NA,0.5
"0.5",0.1,0.0863708225880521,NA,0.5
"0.5",0.125,0.563089633186134,NA,0.5
"0.5",0.15,0.734399904638915,NA,0.5
"0.5",0.175,0.786364383775807,NA,0.5
"0.5",0.2,0.805560954199269,NA,0.5
"0.5",0.225,0.813911707624369,NA,0.5
"0.5",0.25,0.817809075842581,NA,0.5
"0.5",0.275,0.819725978758172,NA,0.5
"0.5",0.3,0.82071078523828,NA,0.5
"0.5",0.325,0.821217551918259,NA,0.5
"0.5",0.35,0.821465428283214,NA,0.5
"0.5",0.375,0.821567997218223,NA,0.5
"0.5",0.4,0.821581609517083,NA,0.5
"0.5",0.425,0.821536784019576,NA,0.5
"0.5",0.45,0.821458720667175,NA,0.5
"0.5",0.475,0.821354376174642,NA,0.5
"0.5",0.5,0.821237063121539,NA,0.5
"0.5",0.525,0.82110630820535,NA,0.5
"0.5",0.55,0.820969751067821,NA,0.5
"0.5",0.575,0.820829976186001,NA,0.5
"0.5",0.6,0.820687655370266,NA,0.5
"0.5",0.625,0.820542167052817,NA,0.5
"0.5",0.65,0.82039560643334,NA,0.5
"0.5",0.675,0.820250212362009,NA,0.5
"0.5",0.7,0.82010637770732,NA,0.5
"0.5",0.725,0.819965246040534,NA,0.5
"0.5",0.75,0.81982447730382,NA,0.5
"0.5",0.775,0.819683662588525,NA,0.5
"0.5",0.8,0.81954414575105,NA,0.5
"0.5",0.825,0.819407559139406,NA,0.5
"0.5",0.85,0.819273775927779,NA,0.5
"0.5",0.875,0.819142722333734,NA,0.5
"0.5",0.9,0.819012704877567,NA,0.5
"0.5",0.925,0.818883711654201,NA,0.5
"0.5",0.95,0.818757316090786,NA,0.5
"0.5",0.975,0.818632701917528,NA,0.5
"0.5",1,0.818510547813912,NA,0.5
"0.6",0.05,0.0220651308606604,NA,0.6
"0.6",0.075,0.0375910630617114,NA,0.6
"0.6",0.1,0.422646010394594,NA,0.6
"0.6",0.125,0.691110999617747,NA,0.6
