"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0",0.37,0.0549438752969985,0,77,1.87033382236291,1.87033382236291,"no","yes"
"0",0.38,0.0549788393304768,0,77,1.91245665559306,1.91245665559306,"no","yes"
"0",0.39,0.0550109914449594,0,76,1.95475958747252,1.95475958747252,"no","yes"
"0",0.4,0.0550431392831885,0,75,1.99723108886473,1.99723108886473,"no","yes"
"0",0.41,0.0550725864986938,0,75,2.03987364667378,2.03987364667378,"no","yes"
"0",0.42,0.055102091576074,0,74,2.08265153801022,2.08265153801022,"no","yes"
"0",0.43,0.0551293631290195,0,74,2.12556908879044,2.12556908879044,"no","yes"
"0",0.44,0.0551570657652603,0,74,2.16861767440627,2.16861767440627,"no","yes"
"0",0.45,0.055183267513821,0,73,2.21178994652835,2.21178994652835,"no","yes"
"0.1",0.01,0.0180475517705935,0.1,0,0.769363369430397,0.76915604266102,"no","no"
"0.1",0.02,0.0183463675276766,0.1,62,0.774096828765188,0.773281598779576,"no","no"
"0.1",0.03,0.0186639423973994,0.1,70,0.781896250978836,0.780102590867436,"no","no"
"0.1",0.04,0.0190476297535392,0.1,76,0.79264677628009,0.78954945709425,"no","no"
"0.1",0.05,0.0194419044682557,0.1,81,0.80620043271888,0.801530444827193,"no","no"
"0.1",0.06,0.0199627500284916,0.1,86,0.822385897049193,0.815934919957535,"no","no"
"0.1",0.07,0.0207612146965582,0.1,91,0.841017946097653,0.832638576033922,"no","no"
"0.1",0.08,0.0217027617724523,0.1,97,0.861906682756883,0.851507755221135,"no","no"
"0.1",0.09,0.0228175258123103,0.1,101,0.884864392616421,0.87240372974769,"no","no"
"0.1",0.1,0.0243314218833687,0.1,307,0.909720829384986,0.895191743451662,"no","no"
"0.1",0.11,0.026583438462116,0.1,324,0.936328881071326,0.919738168511114,"no","no"
"0.1",0.12,0.0289308631467455,0.1,332,0.964495780634978,0.945901431644407,"no","no"
"0.1",0.13,0.0316120211501805,0.1,338,0.994092212222112,0.973557606464564,"no","no"
"0.1",0.14,0.0346155543859076,0.1,342,1.02499060893192,1.00258721053862,"no","yes"
"0.1",0.15,0.0378657403875974,0.1,345,1.05707263898809,1.03287735991693,"no","yes"
"0.1",0.16,0.0412248200426687,0.1,346,1.09022747510735,1.06432099147041,"no","yes"
"0.1",0.17,0.045547749986229,0.1,764,1.12449657673442,1.09681648507424,"no","yes"
"0.1",0.18,0.0505073562540172,0.1,840,1.15978237250041,1.13026805437022,"no","yes"
"0.1",0.19,0.0549347198999596,0.1,847,1.19600822003894,1.16458586218723,"no","yes"
"0.1",0.2,0.0650652610412074,0.1,1221,1.23378693383493,1.19968907648674,"no","yes"
"0.1",0.21,0.0724340913299328,0.1,1212,1.27211361661738,1.23550556655838,"no","yes"
"0.1",0.22,0.10474740512971,0.1,1605,1.31499128788414,1.27197313512694,"no","yes"
"0.1",0.23,0.113718047909903,0.1,1851,1.35669102610202,1.30903735364765,"no","yes"
"0.1",0.24,0.428393616006601,0.1,8522,1.47454165463544,1.34665051022915,"no","yes"
"0.1",0.25,0.730441724376444,0.1,12417,1.62955665231714,1.3847696427633,"yes","yes"
"0.1",0.26,0.768577655489416,0.1,12411,1.69704751309777,1.42335616840201,"yes","yes"
"0.1",0.27,0.787208812248123,0.1,12408,1.75716471022683,1.46237453165079,"yes","yes"
"0.1",0.28,0.797943647674157,0.1,12405,1.81394864496685,1.50179196331321,"yes","yes"
"0.1",0.29,0.804631329541204,0.1,12403,1.8690598293252,1.54157895752961,"yes","yes"
"0.1",0.3,0.809030141517841,0.1,12401,1.92333666763098,1.58170794285454,"yes","yes"
"0.1",0.31,0.812045514072608,0.1,12399,1.97722203195436,1.62215408372748,"yes","yes"
"0.1",0.32,0.814185572210607,0.1,12398,2.03095190737301,1.66289408016987,"yes","yes"
"0.1",0.33,0.815748951277804,0.1,12397,2.08465688302761,1.70390739408892,"yes","yes"
"0.1",0.34,0.816915170721986,0.1,12396,2.13843196457091,1.74517499683515,"yes","yes"
"0.1",0.35,0.81779646004728,0.1,12395,2.19228649189129,1.7866789113766,"yes","yes"
"0.1",0.36,0.818474338365312,0.1,12394,2.24626610054474,1.82840361572379,"yes","yes"
"0.1",0.37,0.819004444983156,0.1,12393,2.30038536205568,1.87033382236291,"yes","yes"
"0.1",0.38,0.819417708740381,0.1,12392,2.35465377137034,1.91245665559306,"yes","yes"
"0.1",0.39,0.81974439212928,0.1,12392,2.40907529349642,1.95475958747252,"yes","yes"
"0.1",0.4,0.819996924053264,0.1,12391,2.46365114856896,1.99723108886473,"yes","yes"
"0.1",0.41,0.820202166058848,0.1,12391,2.51837906321089,2.03987364667378,"yes","yes"
"0.1",0.42,0.820360991203414,0.1,12391,2.57327425727556,2.08265153801022,"yes","yes"
