"q","muC","Mean_Annual_Seroprevalence","mean_popn_R0","R0_when_q0","param1","Persistence","Persist_long","Persist_year"
"0.4",0.185,0.0217748179653858,0.638558414554318,0.406242492868284,0.4,732,"No","No"
"0.4",0.21,0.021774827724927,0.635394200658596,0.397163913162793,0.4,732,"No","No"
"0.5",0.01,0.102567894562644,7.28986372962731,7.28909618893718,0.5,1059,"No","Yes"
"0.5",0.035,0.0730879629858473,1.68737074983849,1.66907571150387,0.5,842,"No","Yes"
"0.5",0.06,0.0238810313621417,0.948441419950573,0.859118637112277,0.5,1419,"No","No"
"0.5",0.085,0.0238778772109262,0.79038162828175,0.612669079880881,0.5,1419,"No","No"
"0.5",0.11,0.0238777316861823,0.743809446179893,0.506245263397099,0.5,1419,"No","No"
"0.5",0.135,0.0238776957169928,0.725112014898657,0.451833497760354,0.5,1419,"No","No"
"0.5",0.16,0.0238776932506083,0.716383782785981,0.422608703169207,0.5,1419,"No","No"
"0.5",0.185,0.0238776741572915,0.711894360276592,0.406320851980423,0.5,1419,"No","No"
"0.5",0.21,0.0238776847088457,0.70950167984166,0.397231873709466,0.5,1419,"No","No"
"0.6",0.01,0.103506287151397,7.2921902079069,7.29125545059571,0.6,1062,"No","Yes"
"0.6",0.035,0.0737380384101072,1.6932965967727,1.66948671285892,0.6,838,"No","Yes"
"0.6",0.06,0.0374010820629095,0.983066878805477,0.859796336614268,0.6,4354,"No","No"
"0.6",0.085,0.0371706813430241,0.850490718843043,0.613141409570616,0.6,4354,"No","No"
"0.6",0.11,0.0371573637031223,0.814201392213453,0.506634674509206,0.6,4354,"No","No"
"0.6",0.135,0.0371556104168611,0.799883786500296,0.45218318086983,0.6,4354,"No","No"
"0.6",0.16,0.0371552230945466,0.793228213167137,0.422932142879692,0.6,4354,"No","No"
"0.6",0.185,0.0371550400960702,0.789807710268276,0.406621775724804,0.6,4354,"No","No"
"0.6",0.21,0.0371549875473468,0.787989325059928,0.397539795811846,0.6,4354,"No","No"
"0.7",0.01,0.732834901338337,9.36391180081788,9.36283009781693,0.7,12146,"No","Yes"
"0.7",0.035,0.165816825687811,1.71451576354399,1.68436763683506,0.7,2731,"No","Yes"
"0.7",0.06,0.261506294438163,1.03737294274562,0.874530558755887,0.7,12531,"Yes","No"
"0.7",0.085,0.239028197093207,0.925372217362705,0.624147081748459,0.7,12430,"Yes","No"
"0.7",0.11,0.238897395399152,0.895852223945378,0.515555884840369,0.7,12429,"Yes","No"
"0.7",0.135,0.238854229895851,0.884309170577566,0.460112572824582,0.7,12429,"Yes","No"
"0.7",0.16,0.238840155479104,0.878947729765416,0.430330773341563,0.7,12429,"Yes","No"
"0.7",0.185,0.23883645246303,0.876194542594627,0.413740546606455,0.7,12429,"Yes","No"
"0.7",0.21,0.23883365778476,0.874729750405938,0.404497985355954,0.7,12429,"Yes","No"
"0.8",0.01,0.746972733606457,10.6391585840675,10.6379218591351,0.8,12378,"Yes","Yes"
"0.8",0.035,0.679681954736273,1.83961308274697,1.80364329154479,0.8,12225,"Yes","Yes"
"0.8",0.06,0.502034384409672,1.1203953977122,0.91790292225018,0.8,12410,"Yes","No"
"0.8",0.085,0.504819112439665,1.01818070364788,0.655263736717701,0.8,12409,"Yes","No"
"0.8",0.11,0.504999784147278,0.991791318539101,0.541328509008441,0.8,12409,"Yes","No"
"0.8",0.135,0.505028910877884,0.981461075979553,0.48311740836784,0.8,12409,"Yes","No"
"0.8",0.16,0.505035828594438,0.976657347091508,0.451850330683338,0.8,12409,"Yes","No"
"0.8",0.185,0.505037490737341,0.974192866118914,0.434465345187986,0.8,12409,"Yes","No"
"0.8",0.21,0.505037947769307,0.972873833499557,0.424726340387687,0.8,12409,"Yes","No"
"0.9",0.01,0.746548464096352,10.5881701964265,10.5867641046223,0.9,12383,"Yes","Yes"
"0.9",0.035,0.719758519032778,1.96835331320167,1.92634287460236,0.9,12391,"Yes","Yes"
"0.9",0.06,0.649999836572721,1.20551622407638,0.959687039365093,0.9,12389,"Yes","No"
"0.9",0.085,0.646409704968407,1.11189646487583,0.684532387803844,0.9,12389,"Yes","No"
"0.9",0.11,0.646443750547269,1.08820881886819,0.565596865187182,0.9,12389,"Yes","No"
"0.9",0.135,0.646446845098161,1.07890860900985,0.504797930139413,0.9,12389,"Yes","No"
"0.9",0.16,0.6464478253685,1.07457387596298,0.472133611368368,0.9,12389,"Yes","No"
"0.9",0.185,0.646448251440268,1.07234420528615,0.453947137657964,0.9,12389,"Yes","No"
"0.9",0.21,0.646448348506309,1.07115378545885,0.443792335933601,0.9,12389,"Yes","No"
"0.99",0.01,0.754351173939932,10.5184360784626,10.5168738591889,0.99,12378,"Yes","Yes"
"0.99",0.035,0.759920148399438,1.99017404255866,1.9405421588765,0.99,12381,"Yes","Yes"
"0.99",0.06,0.703548004287004,1.27491483936299,0.983122201602905,0.99,12381,"Yes","No"
"0.99",0.085,0.700030811789497,1.19165706182292,0.700518253776264,0.99,12380,"Yes","No"
"0.99",0.11,0.700015089869654,1.17088608000772,0.578809288366148,0.99,12380,"Yes","No"
"0.99",0.135,0.700011869936589,1.16270356177446,0.516581771612603,0.99,12380,"Yes","No"
"0.99",0.16,0.700011449565836,1.15888273248157,0.483158594097497,0.99,12380,"Yes","No"
"0.99",0.185,0.700011428534608,1.15691485671488,0.464548306642056,0.99,12380,"Yes","No"
"0.99",0.21,0.700011490842456,1.15586335347871,0.454154088564386,0.99,12380,"Yes","No"
