"q","Tasl","Day_of_Extinction","mean_popn_R0","param1"
"0.8",0.85,12388,NA,0.8
"0.8",0.9,12387,NA,0.8
"0.8",0.95,12387,NA,0.8
"0.8",1,12386,NA,0.8
"0.9",0.05,8343,NA,0.9
"0.9",0.1,12406,NA,0.9
"0.9",0.15,12427,NA,0.9
"0.9",0.2,12418,NA,0.9
"0.9",0.25,12406,NA,0.9
"0.9",0.3,12398,NA,0.9
"0.9",0.35,12393,NA,0.9
"0.9",0.4,12390,NA,0.9
"0.9",0.45,12387,NA,0.9
"0.9",0.5,12386,NA,0.9
"0.9",0.55,12385,NA,0.9
"0.9",0.6,12384,NA,0.9
"0.9",0.65,12384,NA,0.9
"0.9",0.7,12383,NA,0.9
"0.9",0.75,12383,NA,0.9
"0.9",0.8,12382,NA,0.9
"0.9",0.85,12382,NA,0.9
"0.9",0.9,12382,NA,0.9
"0.9",0.95,12381,NA,0.9
"0.9",1,12381,NA,0.9
"0.99",0.05,12419,NA,0.99
"0.99",0.1,12415,NA,0.99
"0.99",0.15,12397,NA,0.99
"0.99",0.2,12388,NA,0.99
"0.99",0.25,12384,NA,0.99
"0.99",0.3,12382,NA,0.99
"0.99",0.35,12381,NA,0.99
"0.99",0.4,12381,NA,0.99
"0.99",0.45,12380,NA,0.99
"0.99",0.5,12380,NA,0.99
"0.99",0.55,12381,NA,0.99
"0.99",0.6,12381,NA,0.99
"0.99",0.65,12381,NA,0.99
"0.99",0.7,12382,NA,0.99
"0.99",0.75,12382,NA,0.99
"0.99",0.8,12382,NA,0.99
"0.99",0.85,12382,NA,0.99
"0.99",0.9,12383,NA,0.99
"0.99",0.95,12383,NA,0.99
"0.99",1,12383,NA,0.99
