"q","biteA","Mean_Annual_Seroprevalence","R0_when_q0","param1","Persistence","mean_popn_R0","Persist_long","Persist_year"
"0",0.42,0.0543913828506611,1.51695463485094,0,94,1.51695463485094,"no","yes"
"0",0.43,0.0544943968152843,1.54497158036142,0,93,1.54497158036142,"no","yes"
"0",0.44,0.0545810440544772,1.57313017247125,0,91,1.57313017247125,"no","yes"
"0",0.45,0.0546536714411645,1.60142386834724,0,89,1.60142386834724,"no","yes"
"0.1",0.01,0.0178956379522746,0.722451859693402,0.1,0,0.722564506580104,"no","no"
"0.1",0.02,0.0180369823220655,0.724540522899575,0.1,0,0.724985956512982,"no","no"
"0.1",0.03,0.018177647901341,0.728004631065874,0.1,0,0.728994017156469,"no","no"
"0.1",0.04,0.0183285151424872,0.732825146594599,0.1,60,0.734555160050198,"no","no"
"0.1",0.05,0.018488713263348,0.73897555868539,0.1,65,0.741624272446999,"no","no"
"0.1",0.06,0.0186582018050335,0.746423119602634,0.1,69,0.75014649227212,"no","no"
"0.1",0.07,0.0188402380100815,0.755129812235721,0.1,73,0.760059794751986,"no","no"
"0.1",0.08,0.0190775447816026,0.765052739956296,0.1,77,0.771296633527142,"no","no"
"0.1",0.09,0.0193008836286421,0.776145617168594,0.1,80,0.78378633352731,"no","no"
"0.1",0.1,0.0195470357778723,0.788359308572485,0.1,84,0.79745675181516,"no","no"
"0.1",0.11,0.0198198433973807,0.801643097897471,0.1,88,0.812235659765801,"no","no"
"0.1",0.12,0.0202403466706164,0.815945036703529,0.1,91,0.828052196578679,"no","no"
"0.1",0.13,0.0207638056308933,0.831213167082112,0.1,95,0.844837906623456,"no","no"
"0.1",0.14,0.0213578761142541,0.847395777415818,0.1,98,0.862526979320231,"no","no"
"0.1",0.15,0.022032126182602,0.864442165754515,0.1,102,0.881057336802177,"no","no"
"0.1",0.16,0.0227968361050282,0.882303289291038,0.1,105,0.900370331653457,"no","no"
"0.1",0.17,0.0238908323479393,0.90093141751557,0.1,320,0.920433858535274,"no","no"
"0.1",0.18,0.0250309525585547,0.920280770936715,0.1,328,0.941167761953976,"no","no"
"0.1",0.19,0.0267515158126607,0.940324453229364,0.1,334,0.96255472274095,"no","no"
"0.1",0.2,0.0284550256489089,0.961000848794107,0.1,339,0.98452641382768,"no","no"
"0.1",0.21,0.0302709147105557,0.982274876376277,0.1,342,1.00704861650274,"no","no"
"0.1",0.22,0.0322383647258022,1.00411126087694,0.1,345,1.0300874033234,"no","yes"
"0.1",0.23,0.0343503836485668,1.02647562694986,0.1,348,1.05360914301641,"no","yes"
"0.1",0.24,0.0365792326393232,1.04933546146558,0.1,349,1.07758195320695,"no","yes"
"0.1",0.25,0.0388826556706337,1.07265919314101,0.1,350,1.10197527312043,"no","yes"
"0.1",0.26,0.0420517281454304,1.09641712841973,0.1,761,1.12687719548879,"no","yes"
"0.1",0.27,0.0456661405266886,1.1205803954871,0.1,821,1.15220953274336,"no","yes"
