"q","biteA","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.05,0.0193047309211223,NA,0
"0",0.075,0.0209766253953476,NA,0
"0",0.1,0.0239095654031282,NA,0
"0",0.125,0.0291211261605453,NA,0
"0",0.15,0.0360538965188058,NA,0
"0",0.175,0.0436653653453986,NA,0
"0",0.2,0.0495095040021199,NA,0
"0",0.225,0.0525630778796872,NA,0
"0",0.25,0.0538150863626784,NA,0
"0",0.275,0.0543297457728446,NA,0
"0",0.3,0.0545877070501418,NA,0
"0",0.325,0.0547491717059148,NA,0
"0",0.35,0.0548665742752194,NA,0
"0",0.375,0.0549611113137413,NA,0
"0",0.4,0.0550431392831885,NA,0
"0",0.425,0.0551159683230382,NA,0
"0",0.45,0.055183267513821,NA,0
"0",0.475,0.0552464654966686,NA,0
"0",0.5,0.0553060758930191,NA,0
"0",0.525,0.0553626699737538,NA,0
"0",0.55,0.0554178690227704,NA,0
"0",0.575,0.0554698896535807,NA,0
"0",0.6,0.0555214668004265,NA,0
"0",0.625,0.0555704707548563,NA,0
"0",0.65,0.0556185690907718,NA,0
"0",0.675,0.0556653986045036,NA,0
"0",0.7,0.0557104500595159,NA,0
"0",0.725,0.0557550867574881,NA,0
"0",0.75,0.0557987448643209,NA,0
"0",0.775,0.0558410815006302,NA,0
"0",0.8,0.0558822485329976,NA,0
"0",0.825,0.0559235574260821,NA,0
"0",0.85,0.0559638698180285,NA,0
"0",0.875,0.0560032344289477,NA,0
"0",0.9,0.05604173217972,NA,0
"0",0.925,0.056079564614631,NA,0
"0",0.95,0.0561174954711015,NA,0
"0",0.975,0.0561546853224689,NA,0
"0",1,0.0561911878351404,NA,0
"0.25",0.05,0.0197239886630575,NA,0.25
"0.25",0.075,0.021902490337723,NA,0.25
"0.25",0.1,0.0260575755107368,NA,0.25
"0.25",0.125,0.0352475806293705,NA,0.25
"0.25",0.15,0.0872424519048964,NA,0.25
"0.25",0.175,0.586580887460867,NA,0.25
"0.25",0.2,0.744826265397892,NA,0.25
"0.25",0.225,0.791624581524769,NA,0.25
"0.25",0.25,0.807528849390641,NA,0.25
"0.25",0.275,0.814169527026782,NA,0.25
"0.25",0.3,0.817376562545873,NA,0.25
"0.25",0.325,0.819065603611888,NA,0.25
"0.25",0.35,0.820008230931537,NA,0.25
"0.25",0.375,0.820541506913949,NA,0.25
"0.25",0.4,0.820843372531193,NA,0.25
"0.25",0.425,0.821005222696794,NA,0.25
"0.25",0.45,0.821071573617377,NA,0.25
"0.25",0.475,0.82108402245954,NA,0.25
"0.25",0.5,0.821053064774067,NA,0.25
"0.25",0.525,0.820996326542351,NA,0.25
"0.25",0.55,0.820919676516829,NA,0.25
"0.25",0.575,0.820830808201706,NA,0.25
"0.25",0.6,0.820730667671747,NA,0.25
"0.25",0.625,0.820625274085384,NA,0.25
"0.25",0.65,0.820512799949071,NA,0.25
"0.25",0.675,0.82040019305414,NA,0.25
"0.25",0.7,0.820284194894958,NA,0.25
"0.25",0.725,0.820164591846036,NA,0.25
"0.25",0.75,0.820048291861571,NA,0.25
"0.25",0.775,0.819930445512401,NA,0.25
"0.25",0.8,0.819813031229065,NA,0.25
"0.25",0.825,0.819695289092142,NA,0.25
"0.25",0.85,0.819578521658268,NA,0.25
"0.25",0.875,0.819462001038543,NA,0.25
"0.25",0.9,0.819347762276701,NA,0.25
"0.25",0.925,0.81923531073078,NA,0.25
"0.25",0.95,0.819124449065426,NA,0.25
"0.25",0.975,0.819014983479388,NA,0.25
"0.25",1,0.818905848916146,NA,0.25
"0.5",0.05,0.0208656842153829,NA,0.5
"0.5",0.075,0.0258723123372723,NA,0.5
"0.5",0.1,0.0863708225880521,NA,0.5
"0.5",0.125,0.563089633186134,NA,0.5
"0.5",0.15,0.734399904638915,NA,0.5
"0.5",0.175,0.786364383775807,NA,0.5
"0.5",0.2,0.805560954199269,NA,0.5
"0.5",0.225,0.813911707624369,NA,0.5
"0.5",0.25,0.817809075842581,NA,0.5
"0.5",0.275,0.819725978758172,NA,0.5
"0.5",0.3,0.82071078523828,NA,0.5
"0.5",0.325,0.821217551918259,NA,0.5
"0.5",0.35,0.821465428283214,NA,0.5
"0.5",0.375,0.821567997218223,NA,0.5
"0.5",0.4,0.821581609517083,NA,0.5
"0.5",0.425,0.821536784019576,NA,0.5
"0.5",0.45,0.821458720667175,NA,0.5
"0.5",0.475,0.821354376174642,NA,0.5
"0.5",0.5,0.821237063121539,NA,0.5
"0.5",0.525,0.82110630820535,NA,0.5
"0.5",0.55,0.820969751067821,NA,0.5
"0.5",0.575,0.820829976186001,NA,0.5
"0.5",0.6,0.820687655370266,NA,0.5
"0.5",0.625,0.820542167052817,NA,0.5
"0.5",0.65,0.82039560643334,NA,0.5
"0.5",0.675,0.820250212362009,NA,0.5
"0.5",0.7,0.82010637770732,NA,0.5
"0.5",0.725,0.819965246040534,NA,0.5
"0.5",0.75,0.81982447730382,NA,0.5
"0.5",0.775,0.819683662588525,NA,0.5
"0.5",0.8,0.81954414575105,NA,0.5
"0.5",0.825,0.819407559139406,NA,0.5
"0.5",0.85,0.819273775927779,NA,0.5
"0.5",0.875,0.819142722333734,NA,0.5
"0.5",0.9,0.819012704877567,NA,0.5
"0.5",0.925,0.818883711654201,NA,0.5
"0.5",0.95,0.818757316090786,NA,0.5
"0.5",0.975,0.818632701917528,NA,0.5
"0.5",1,0.818510547813912,NA,0.5
"0.7444736",0.05,0.0300935699205547,NA,0.7444736
"0.7444736",0.075,0.313742614226251,NA,0.7444736
"0.7444736",0.1,0.663657548148638,NA,0.7444736
"0.7444736",0.125,0.76289049043216,NA,0.7444736
"0.7444736",0.15,0.795198852408871,NA,0.7444736
"0.7444736",0.175,0.80919702359444,NA,0.7444736
"0.7444736",0.2,0.816007175029371,NA,0.7444736
"0.7444736",0.225,0.819318850700217,NA,0.7444736
"0.7444736",0.25,0.820826949194319,NA,0.7444736
"0.7444736",0.275,0.8214780686991,NA,0.7444736
"0.7444736",0.3,0.821716758992976,NA,0.7444736
"0.7444736",0.325,0.82175373267132,NA,0.7444736
"0.7444736",0.35,0.821683537777433,NA,0.7444736
"0.7444736",0.375,0.821551482626982,NA,0.7444736
"0.7444736",0.4,0.821385691768985,NA,0.7444736
"0.7444736",0.425,0.821206058163003,NA,0.7444736
"0.7444736",0.45,0.821013863211259,NA,0.7444736
"0.7444736",0.475,0.820815192440524,NA,0.7444736
"0.7444736",0.5,0.820614781619603,NA,0.7444736
"0.7444736",0.525,0.820415758667514,NA,0.7444736
"0.7444736",0.55,0.820218383622791,NA,0.7444736
"0.7444736",0.575,0.820021383085212,NA,0.7444736
"0.7444736",0.6,0.819830465977663,NA,0.7444736
"0.7444736",0.625,0.819642784140376,NA,0.7444736
"0.7444736",0.65,0.819458264080187,NA,0.7444736
"0.7444736",0.675,0.819278135295961,NA,0.7444736
"0.7444736",0.7,0.819101694055212,NA,0.7444736
"0.7444736",0.725,0.818928948529724,NA,0.7444736
"0.7444736",0.75,0.818759099732256,NA,0.7444736
"0.7444736",0.775,0.818592656077165,NA,0.7444736
"0.7444736",0.8,0.818430559216864,NA,0.7444736
"0.7444736",0.825,0.818274651263342,NA,0.7444736
"0.7444736",0.85,0.818121450376074,NA,0.7444736
"0.7444736",0.875,0.817971358789801,NA,0.7444736
"0.7444736",0.9,0.817824635564311,NA,0.7444736
"0.7444736",0.925,0.817681578450147,NA,0.7444736
"0.7444736",0.95,0.817542265024369,NA,0.7444736
"0.7444736",0.975,0.817406185682354,NA,0.7444736
"0.7444736",1,0.817273675559242,NA,0.7444736
"0.75",0.05,0.0307466792094079,NA,0.75
"0.75",0.075,0.333225721713837,NA,0.75
"0.75",0.1,0.669042913270101,NA,0.75
"0.75",0.125,0.764348387952401,NA,0.75
"0.75",0.15,0.795737835429171,NA,0.75
"0.75",0.175,0.809431790882325,NA,0.75
"0.75",0.2,0.81612063797243,NA,0.75
"0.75",0.225,0.81937616386911,NA,0.75
"0.75",0.25,0.820853616337067,NA,0.75
"0.75",0.275,0.821489571418833,NA,0.75
"0.75",0.3,0.821717001051817,NA,0.75
"0.75",0.325,0.821746110797153,NA,0.75
"0.75",0.35,0.821670803902827,NA,0.75
"0.75",0.375,0.821533407356217,NA,0.75
"0.75",0.4,0.821364954580794,NA,0.75
"0.75",0.425,0.82118245027727,NA,0.75
"0.75",0.45,0.820987301090048,NA,0.75
"0.75",0.475,0.820786098702034,NA,0.75
"0.75",0.5,0.820584530647455,NA,0.75
"0.75",0.525,0.820383838249689,NA,0.75
"0.75",0.55,0.820184869230752,NA,0.75
"0.75",0.575,0.819986747120448,NA,0.75
"0.75",0.6,0.81979505310847,NA,0.75
"0.75",0.625,0.819606117817884,NA,0.75
"0.75",0.65,0.819420618206401,NA,0.75
"0.75",0.675,0.819240057032873,NA,0.75
"0.75",0.7,0.819062590727841,NA,0.75
"0.75",0.725,0.818888711319318,NA,0.75
"0.75",0.75,0.818718038401694,NA,0.75
"0.75",0.775,0.81855135134882,NA,0.75
"0.75",0.8,0.818390076841989,NA,0.75
"0.75",0.825,0.818232801046512,NA,0.75
"0.75",0.85,0.818079041268534,NA,0.75
"0.75",0.875,0.817928635320434,NA,0.75
"0.75",0.9,0.817781717847413,NA,0.75
"0.75",0.925,0.817638421813902,NA,0.75
"0.75",0.95,0.817498836265504,NA,0.75
"0.75",0.975,0.817362811835044,NA,0.75
"0.75",1,0.817230273873918,NA,0.75
"0.99",0.05,0.488392077681306,NA,0.99
"0.99",0.075,0.704092336018418,NA,0.99
"0.99",0.1,0.766563293012608,NA,0.99
"0.99",0.125,0.793494665122687,NA,0.99
"0.99",0.15,0.806674526895998,NA,0.99
"0.99",0.175,0.813620695098736,NA,0.99
"0.99",0.2,0.81743726698488,NA,0.99
"0.99",0.225,0.819263360184836,NA,0.99
"0.99",0.25,0.819926714525879,NA,0.99
"0.99",0.275,0.820043556075188,NA,0.99
"0.99",0.3,0.819913855035695,NA,0.99
"0.99",0.325,0.819677021398468,NA,0.99
"0.99",0.35,0.819394687309754,NA,0.99
"0.99",0.375,0.81909789597989,NA,0.99
"0.99",0.4,0.818798517149091,NA,0.99
"0.99",0.425,0.818501216455245,NA,0.99
"0.99",0.45,0.81821162167652,NA,0.99
"0.99",0.475,0.817931488786594,NA,0.99
"0.99",0.5,0.817662522301864,NA,0.99
"0.99",0.525,0.817402513952774,NA,0.99
"0.99",0.55,0.817151811869185,NA,0.99
"0.99",0.575,0.816909075957073,NA,0.99
"0.99",0.6,0.816678464059937,NA,0.99
"0.99",0.625,0.816455283199934,NA,0.99
"0.99",0.65,0.816240899198608,NA,0.99
"0.99",0.675,0.816034611433771,NA,0.99
"0.99",0.7,0.815834609063515,NA,0.99
"0.99",0.725,0.815642302271511,NA,0.99
"0.99",0.75,0.815458359209805,NA,0.99
"0.99",0.775,0.815279983927014,NA,0.99
"0.99",0.8,0.81510274197484,NA,0.99
"0.99",0.825,0.814933520344239,NA,0.99
"0.99",0.85,0.814769579616727,NA,0.99
"0.99",0.875,0.81461040063224,NA,0.99
"0.99",0.9,0.814456019007214,NA,0.99
"0.99",0.925,0.814305789865951,NA,0.99
"0.99",0.95,0.814160515153474,NA,0.99
