"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0",0.01,0.0180225462364671,0,0,0.769156058883459,0.769156058883459,"no","no"
"0",0.02,0.0182960615269901,0,62,0.773281818437485,0.773281818437485,"no","no"
"0",0.03,0.018586949480469,0,70,0.780102821740966,0.780102821740966,"no","no"
"0",0.04,0.0189419499351004,0,76,0.789549836368074,0.789549836368074,"no","no"
"0",0.05,0.019304711377193,0,81,0.801531027392836,0.801531027392836,"no","no"
"0",0.06,0.0197894302149269,0,86,0.815935817514276,0.815935817514276,"no","no"
"0",0.07,0.0205476640228402,0,91,0.832639651522093,0.832639651522093,"no","no"
"0",0.08,0.0214432297945462,0,96,0.851509007840383,0.851509007840383,"no","no"
"0",0.09,0.0225051558261012,0,101,0.872405346435265,0.872405346435265,"no","no"
"0",0.1,0.0239094127360933,0,107,0.895193774451001,0.895193774451001,"no","no"
"0",0.11,0.0257836653373825,0,112,0.919740782806028,0.919740782806028,"no","no"
"0",0.12,0.0279531964277238,0,117,0.945904723225239,0.945904723225239,"no","no"
"0",0.13,0.0303682326328119,0,121,0.973561562813472,0.973561562813472,"no","no"
"0",0.14,0.0330880659141798,0,124,1.0025919617632,1.0025919617632,"no","yes"
"0",0.15,0.0360534703585465,0,126,1.03288292582847,1.03288292582847,"no","yes"
"0",0.16,0.0391478977006957,0,127,1.06432760116345,1.06432760116345,"no","yes"
"0",0.17,0.0422066352583538,0,127,1.09682414718205,1.09682414718205,"no","yes"
"0",0.18,0.0450461745586497,0,126,1.13027660947927,1.13027660947927,"no","yes"
"0",0.19,0.047509740703821,0,123,1.16459555762042,1.16459555762042,"no","yes"
"0",0.2,0.0495081450179097,0,120,1.19969976732801,1.19969976732801,"no","yes"
"0",0.21,0.0510325135070754,0,116,1.23551741007015,1.23551741007015,"no","yes"
"0",0.22,0.0521384047159472,0,112,1.27198593493271,1.27198593493271,"no","yes"
"0",0.23,0.0529129205866401,0,107,1.30905117445867,1.30905117445867,"no","yes"
"0",0.24,0.0534456833232282,0,103,1.34666546412739,1.34666546412739,"no","yes"
"0",0.25,0.0538121134744807,0,99,1.38478588452287,1.38478588452287,"no","yes"
"0",0.26,0.054067952401898,0,95,1.42337363747462,1.42337363747462,"no","yes"
"0",0.27,0.0542524139903862,0,92,1.46239311386974,1.46239311386974,"no","yes"
"0",0.28,0.0543899035411377,0,90,1.50181197638413,1.50181197638413,"no","yes"
"0",0.29,0.0544968106708046,0,87,1.54160062091384,1.54160062091384,"no","yes"
"0",0.3,0.05458269265997,0,85,1.58173099971548,1.58173099971548,"no","yes"
"0",0.31,0.0546542140193653,0,84,1.62217866941666,1.62217866941666,"no","yes"
"0",0.32,0.05471484295183,0,82,1.66292043862382,1.66292043862382,"no","yes"
"0",0.33,0.0547686357433239,0,81,1.70393559778201,1.70393559778201,"no","yes"
"0",0.34,0.054816242981824,0,80,1.74520480135393,1.74520480135393,"no","yes"
"0",0.35,0.0548590975319867,0,79,1.78671069146476,1.78671069146476,"no","yes"
"0",0.36,0.0548981552925554,0,78,1.82843716602574,1.82843716602574,"no","yes"
"0",0.37,0.0549353124301866,0,77,1.87036978833493,1.87036978833493,"no","yes"
"0",0.38,0.0549697164645872,0,77,1.91249423857766,1.91249423857766,"no","yes"
"0",0.39,0.0550012926386382,0,76,1.95479927481554,1.95479927481554,"no","yes"
"0",0.4,0.0550328522116421,0,75,1.99727290921771,1.99727290921771,"no","yes"
"0",0.41,0.0550617042628295,0,75,2.03990448547017,2.03990448547017,"no","yes"
"0",0.42,0.0550905957056243,0,74,2.08268532447781,2.08268532447781,"no","yes"
"0",0.43,0.0551172460061324,0,74,2.12560494675522,2.12560494675522,"no","yes"
"0",0.44,0.0551443155216713,0,74,2.16865597984471,2.16865597984471,"no","yes"
"0",0.45,0.0551698746081842,0,73,2.21183071148553,2.21183071148553,"no","yes"
"0.1",0.01,0.0180475517705935,0.1,0,0.769363369430397,0.769156058883459,"no","no"
"0.1",0.02,0.0183463653237207,0.1,62,0.77409703227099,0.773281818437485,"no","no"
"0.1",0.03,0.0186639316657206,0.1,70,0.781896530549913,0.780102821740966,"no","no"
"0.1",0.04,0.0190476017506611,0.1,76,0.792647256568774,0.789549836368074,"no","no"
"0.1",0.05,0.019441845515828,0.1,81,0.806201166692246,0.801531027392836,"no","no"
