"q","biteA","Mean_Annual_Seroprevalence","mean_popn_R0","param1"
"0",0.05,0.019304711377193,NA,0
"0",0.075,0.0209765582259529,NA,0
"0",0.1,0.023909410599187,NA,0
"0",0.125,0.0291208779331481,NA,0
"0",0.15,0.0360534703585465,NA,0
"0",0.175,0.0436646912375336,NA,0
"0",0.2,0.0495081450179097,NA,0
"0",0.225,0.0525609444986746,NA,0
"0",0.25,0.0538121134744807,NA,0
"0",0.275,0.0543258107840098,NA,0
"0",0.3,0.05458269265997,NA,0
"0",0.325,0.05474297497306,NA,0
"0",0.35,0.0548590975319867,NA,0
"0",0.375,0.0549522702287432,NA,0
"0",0.4,0.0550328522116421,NA,0
"0",0.425,0.0551041633223971,NA,0
"0",0.45,0.0551698746081842,NA,0
"0",0.475,0.0552314210125853,NA,0
"0",0.5,0.0552893197368976,NA,0
"0",0.525,0.0553441503462777,NA,0
"0",0.55,0.0553975353128539,NA,0
"0",0.575,0.0554476917358448,NA,0
"0",0.6,0.0554973599258993,NA,0
"0",0.625,0.0555444148397551,NA,0
"0",0.65,0.0555905267944191,NA,0
"0",0.675,0.0556353358061996,NA,0
"0",0.7,0.0556783285178691,NA,0
"0",0.725,0.0557208715332523,NA,0
"0",0.75,0.0557624084850981,NA,0
"0",0.775,0.0558025947552071,NA,0
"0",0.8,0.0558415925883548,NA,0
"0",0.825,0.0558807062268825,NA,0
"0",0.85,0.0559187942171367,NA,0
"0",0.875,0.0559559119951525,NA,0
"0",0.9,0.0559921509988189,NA,0
"0",0.925,0.0560276982527817,NA,0
"0",0.95,0.0560633318671849,NA,0
"0",0.975,0.05609819487097,NA,0
"0",1,0.0561323597453228,NA,0
"0.25",0.05,0.0197238457815511,NA,0.25
"0.25",0.075,0.0219015836314211,NA,0.25
"0.25",0.1,0.0260526914606295,NA,0.25
"0.25",0.125,0.0352108951206383,NA,0.25
"0.25",0.15,0.0867141689274574,NA,0.25
"0.25",0.175,0.581923600088246,NA,0.25
"0.25",0.2,0.74246111883958,NA,0.25
"0.25",0.225,0.790661799065403,NA,0.25
"0.25",0.25,0.8070787812297,NA,0.25
"0.25",0.275,0.81392435570153,NA,0.25
"0.25",0.3,0.817223789712319,NA,0.25
"0.25",0.325,0.818968597548386,NA,0.25
"0.25",0.35,0.819936023400778,NA,0.25
"0.25",0.375,0.820489808344002,NA,0.25
"0.25",0.4,0.820803578761875,NA,0.25
"0.25",0.425,0.820969198587117,NA,0.25
"0.25",0.45,0.821042959495138,NA,0.25
"0.25",0.475,0.82106108295479,NA,0.25
"0.25",0.5,0.82103005941715,NA,0.25
"0.25",0.525,0.820978966469514,NA,0.25
"0.25",0.55,0.820902396967447,NA,0.25
"0.25",0.575,0.820813756830681,NA,0.25
"0.25",0.6,0.820716419446264,NA,0.25
"0.25",0.625,0.820611343943072,NA,0.25
"0.25",0.65,0.820502261148915,NA,0.25
"0.25",0.675,0.820387576838481,NA,0.25
"0.25",0.7,0.820273678238745,NA,0.25
"0.25",0.725,0.820156710789281,NA,0.25
"0.25",0.75,0.820037928139548,NA,0.25
"0.25",0.775,0.819921753534441,NA,0.25
"0.25",0.8,0.819804766218621,NA,0.25
"0.25",0.825,0.819689324511985,NA,0.25
"0.25",0.85,0.819572429121849,NA,0.25
"0.25",0.875,0.819456822740297,NA,0.25
"0.25",0.9,0.819342038799072,NA,0.25
"0.25",0.925,0.819229737100084,NA,0.25
"0.25",0.95,0.819119889972461,NA,0.25
"0.25",0.975,0.819011013508222,NA,0.25
"0.25",1,0.818902544666674,NA,0.25
"0.5",0.05,0.0208649115445412,NA,0.5
"0.5",0.075,0.0258629348017138,NA,0.5
"0.5",0.1,0.0861292963802764,NA,0.5
"0.5",0.125,0.558098153459035,NA,0.5
"0.5",0.15,0.731381509709575,NA,0.5
"0.5",0.175,0.785072947265823,NA,0.5
"0.5",0.2,0.804907271623854,NA,0.5
"0.5",0.225,0.813532297800465,NA,0.5
"0.5",0.25,0.817570420103538,NA,0.5
"0.5",0.275,0.819568288602543,NA,0.5
"0.5",0.3,0.820597301601829,NA,0.5
"0.5",0.325,0.8211358127522,NA,0.5
"0.5",0.35,0.821409290404135,NA,0.5
"0.5",0.375,0.82152741647362,NA,0.5
"0.5",0.4,0.821553551612707,NA,0.5
"0.5",0.425,0.821517524686085,NA,0.5
"0.5",0.45,0.821446755201359,NA,0.5
"0.5",0.475,0.821352541305415,NA,0.5
"0.5",0.5,0.821236576874155,NA,0.5
"0.5",0.525,0.821115017468634,NA,0.5
"0.5",0.55,0.820981575885335,NA,0.5
"0.5",0.575,0.820845355445053,NA,0.5
"0.5",0.6,0.820708516082321,NA,0.5
"0.5",0.625,0.82056743904616,NA,0.5
"0.5",0.65,0.820425759428732,NA,0.5
"0.5",0.675,0.820283017539899,NA,0.5
"0.5",0.7,0.820141360677102,NA,0.5
"0.5",0.725,0.820002377718659,NA,0.5
"0.5",0.75,0.819865583434836,NA,0.5
"0.5",0.775,0.819729002685236,NA,0.5
"0.5",0.8,0.81959294675634,NA,0.5
"0.5",0.825,0.819459267149099,NA,0.5
"0.5",0.85,0.819327033644888,NA,0.5
"0.5",0.875,0.819197165664256,NA,0.5
"0.5",0.9,0.819069977824466,NA,0.5
"0.5",0.925,0.818944843584817,NA,0.5
"0.5",0.95,0.818821443189732,NA,0.5
"0.5",0.975,0.818699076504393,NA,0.5
"0.5",1,0.818578435852409,NA,0.5
"0.7444736",0.05,0.0300770472970498,NA,0.7444736
"0.7444736",0.075,0.311007992670158,NA,0.7444736
"0.7444736",0.1,0.658826457287959,NA,0.7444736
